RL,Equipo,País,LgRk,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/P,xG,xGA,xGD,xGD/90,Asistencia,Máximo Goleador del Equipo,Portero
75,Saint-Étienne,fr FRA,17,28,8,6,14,29,45,-16,30,1.07,28.8,35.4,-6.6,-0.24,23205,Denis Bouanga - 10,Stéphane Ruffier
76,Köln,de GER,14,34,10,6,18,51,69,-18,36,1.06,47.2,51.5,-4.3,-0.13,35094,Jhon Córdoba - 13,Timo Horn
77,Augsburg,de GER,15,34,9,9,16,45,63,-18,36,1.06,42.1,54.9,-12.9,-0.38,20265,Florian Niederlechner - 13,Tomáš Koubek
78,Torino,it ITA,16,38,11,7,20,46,68,-22,40,1.05,42.4,62.8,-20.4,-0.54,13338,Andrea Belotti - 16,Salvatore Sirigu
79,West Ham,eng ENG,16,38,10,9,19,49,62,-13,39,1.03,46.2,61.1,-14.8,-0.39,44155,Michail Antonio - 10,Łukasz Fabiański
80,Alavés,es ESP,16,38,10,9,19,34,59,-25,39,1.03,37.0,53.2,-16.2,-0.43,12177,Lucas Pérez Joselu - 11,Fernando Pacheco
81,Genoa,it ITA,17,38,10,9,19,47,73,-26,39,1.03,47.4,59.2,-11.8,-0.31,14016,Goran Pandev - 9,Mattia Perin
82,Celta Vigo,es ESP,17,38,7,16,15,37,49,-12,37,0.97,37.7,42.0,-4.3,-0.11,11995,Iago Aspas - 14,Rubén Blanco
83,Nîmes,fr FRA,18,28,7,6,15,29,44,-15,27,0.96,29.6,44.0,-14.3,-0.51,12555,Romain Philippoteaux - 5,Paul Bernardoni
84,Leganés,es ESP,18,38,8,12,18,30,51,-21,36,0.95,37.3,39.0,-1.6,-0.04,7539,Óscar Rodríguez Arnaiz - 9,Iván Cuéllar
85,Aston Villa,eng ENG,17,38,9,8,21,41,67,-26,35,0.92,40.1,65.9,-25.8,-0.68,28505,Jack Grealish - 8,Tom Heaton
86,Lecce,it ITA,18,38,9,8,21,52,85,-33,35,0.92,53.9,84.0,-30.1,-0.79,15939,Marco Mancosu - 14,Gabriel
87,Werder Bremen,de GER,16,34,8,7,19,42,69,-27,31,0.91,41.4,48.1,-6.7,-0.20,26413,Yuya Osako Milot Rashica - 8,Jiří Pavlenka
88,Bournemouth,eng ENG,18,38,9,7,22,40,65,-25,34,0.89,42.7,57.5,-14.8,-0.39,7745,Callum Wilson - 8,Aaron Ramsdale
89,Watford,eng ENG,19,38,8,10,20,36,64,-28,34,0.89,45.1,57.3,-12.2,-0.32,15353,Troy Deeney - 10,Ben Foster
90,Düsseldorf,de GER,17,34,6,12,16,36,67,-31,30,0.88,33.0,56.2,-23.2,-0.68,30581,Rouwen Hennings - 15,Zack Steffen Florian Kastenmeier
91,Mallorca,es ESP,19,38,9,6,23,40,65,-25,33,0.87,39.2,60.6,-21.4,-0.56,10877,Ante Budimir - 13,Manolo Reina
92,Amiens,fr FRA,19,28,4,11,13,31,50,-19,23,0.82,26.7,35.4,-8.7,-0.31,11616,Sehrou Guirassy - 9,Régis Gurtner
93,Espanyol,es ESP,20,38,5,10,23,27,58,-31,25,0.66,33.0,44.4,-11.4,-0.30,16260,Raúl de Tomás Wu Lei... - 4,Diego López
94,Brescia,it ITA,19,38,6,7,25,35,79,-44,25,0.66,42.4,77.6,-35.2,-0.93,10050,Ernesto Torregrossa Alfredo Donnarumma - 7,Jesse Joronen
95,Paderborn 07,de GER,18,34,4,8,22,37,74,-37,20,0.59,38.4,67.5,-29.0,-0.85,11038,Streli Mamba Sven Michel... - 5,Leopold Zingerle
96,Norwich City,eng ENG,20,38,5,6,27,26,75,-49,21,0.55,38.0,61.9,-23.9,-0.63,19913,Teemu Pukki - 11,Tim Krul
97,SPAL,it ITA,20,38,5,5,28,27,77,-50,20,0.53,39.1,67.5,-28.3,-0.75,8241,Andrea Petagna - 12,Etrit Berisha
98,Toulouse,fr FRA,20,28,3,4,21,22,58,-36,13,0.46,30.1,44.2,-14.1,-0.50,14200,Efthimis Koulouris - 4,Baptiste Reynet
