"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"AXP",-6.00693141408846,3.72331643465084,4.00813546566228,0.0133445557387201,-1.2377903428836
"AMGN",3.70710156288048,-4.54644552133798,-1.90107368009375,2.31513449186952,-2.49543312343416
"AAPL",9.08310596986339,4.79340249925669,-0.512428364501084,1.41001258941099,3.42308320328656
"BA",-7.94715227509816,8.33705021041229,-10.4700414012447,-5.31614870239591,-2.42606704617377
"CAT",-7.196425612672,-0.0253306837858686,0.60440357053202,1.59427799960732,-1.85304377748947
"CVX",-7.00625290929556,0.555623072922354,1.48553104742343,5.77335581033952,-3.03130848276456
"CSCO",3.05144604724703,-0.753925898647593,0.822292651659313,0.268471072344407,1.00193808854947
"KO",2.63281230284778,-2.83210480448107,1.34130617980267,-0.865006508390831,-1.83722516699365
"DIS",-2.15223917719619,1.96904440178026,1.34893305494876,-5.72328772589217,-2.64157884072744
"DOW",-8.46483160540738,0.20236238085374,3.60118246357827,3.39685322254074,3.05858547466616
"GS",-8.05305441379217,1.00008968880324,1.4729192728525,-0.899055993902348,3.35655566054732
"HD",2.07517453967349,-2.19485129091178,1.27668985894729,-3.09049072328748,4.20197018710947
"HON",-2.1872958441003,0.211181074589421,0.969608927731782,-0.751182293341384,0.144627848410365
"INTC",3.97972860603321,9.2988660522896,-1.98517310310059,7.66133382361229,-0.568958175953439
"JNJ",2.41492064419655,-4.85460371484311,-0.735977843926257,0.386503669142063,-1.84173120987138
"JPM",-5.53720063910531,0.0576602011820939,1.72710228353039,0.381948986101338,2.36594084207343
"MCD",2.39644445530184,-1.98791291946817,-0.139595778328138,-2.64890297289439,-1.0698127078632
"MRK",2.13241310057007,-6.76558458243936,-0.788123262403419,2.98448891497078,-2.97315641747816
"MSFT",8.06657075559574,3.64024791837452,-0.540307259625184,0.444826588150023,1.49431712084532
"NKE",2.84512476789734,0.879134826548762,4.55097414497742,-3.79420614756409,4.91898162935712
"PG",3.02371339345851,-4.15999277510218,-0.579509179497746,-1.36026617444513,-2.36597728651317
"CRM",8.42465252329174,5.97699023005402,0.486612687056785,-0.205478941704133,-2.37490471424548
"TRV",-3.47281146910423,-0.946135532269736,2.66676593040207,-0.598503001369317,-0.704684546737782
"VZ",0.429630243789222,-4.98494298897832,0.649236526213509,-0.916659415217811,-3.04340734598436
"V",3.8856122629599,2.3101479618237,3.05151520002777,-0.916151375356794,-0.0339512983358321
"WBA",-2.09344785851717,-6.50389744131239,-9.32698647305085,2.83193705377638,6.53814851591751
"WMT",1.96919204277061,-2.39938879996395,-3.08399291957452,-2.3771488018423,-0.00511808731327034
